PC,PQ,PR,TP,DQ,RP,BP,PD,MP,UM,EA,NO,CY,RH,LH,CC,DC,WC,LS,,
SP3 5AR,10,N,12,12,11,1,0,12,0,396949,132638,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5AR
SP3 5AS,10,N,2,2,2,0,0,2,0,397006,132711,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5AS
SP3 5AT,10,N,3,3,3,0,0,3,0,396978,132603,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5AT
SP3 5AU,10,N,13,13,13,0,0,13,0,397057,132397,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5AU,
SP3 5AW,10,N,14,14,14,0,0,14,0,397158,132849,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5AW,
SP3 5AX,10,N,2,2,2,0,0,2,0,397191,132344,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5AX
SP3 5AY,10,N,3,3,2,1,0,3,0,397209,132460,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5AY
SP3 5AZ,10,N,5,5,5,0,0,5,0,397225,132279,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5AZ
SP3 5BA,10,N,2,2,2,0,0,2,0,397174,132042,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BA
SP3 5BB,10,N,13,13,13,0,0,13,0,396975,132467,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5BB,
SP3 5BD,10,N,11,11,10,1,0,11,0,396902,132562,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BD
SP3 5BE,10,N,17,17,17,0,0,17,0,396828,132631,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5BE,
SP3 5BG,10,N,7,7,7,0,0,7,0,396748,132613,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BG
SP3 5BH,10,N,3,3,3,0,0,3,0,396854,132488,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BH
SP3 5BJ,10,N,6,6,6,0,0,6,0,396885,132391,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BJ
SP3 5BN,10,N,2,2,2,0,0,2,0,397003,131890,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BN
SP3 5BQ,10,N,4,4,4,0,0,4,0,396755,132573,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BQ
SP3 5BS,10,N,20,20,20,0,0,20,0,395439,131885,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5BS,
SP3 5BT,10,N,1,1,0,1,0,1,0,401057,131067,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BT
SP3 5BU,10,N,16,16,16,0,0,16,0,397252,132783,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5BU,
SP3 5BW,10,N,4,4,4,0,0,4,0,396940,132059,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BW
SP3 5BX,10,N,12,12,12,0,0,12,0,396828,132342,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5BX,
SP3 5BY,10,N,3,3,3,0,0,3,0,397021,132929,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5BY
SP3 5DA,10,N,3,3,3,0,0,3,0,402891,129960,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DA
SP3 5DB,10,N,20,20,20,0,0,20,0,402932,129769,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5DB,
SP3 5DD,10,N,3,3,3,0,0,3,0,403144,129816,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DD
SP3 5DE,10,N,7,7,7,0,0,7,0,402903,130108,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DE
SP3 5DF,10,N,1,1,1,0,0,1,0,402763,130108,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DF
SP3 5DG,10,N,2,2,2,0,0,2,0,402852,130009,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DG
SP3 5DH,10,N,6,6,6,0,0,6,0,402980,129373,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DH
SP3 5DJ,10,N,4,4,4,0,0,4,0,403042,129371,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DJ
SP3 5DL,10,N,2,2,2,0,0,2,0,403582,129580,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DL
SP3 5DN,10,N,2,2,2,0,0,2,0,401872,129178,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DN
SP3 5DP,10,N,1,1,1,0,0,1,0,402353,129736,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DP
SP3 5DQ,10,N,2,2,2,0,0,2,0,403427,130857,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DQ
SP3 5DS,10,N,3,3,3,0,0,3,0,402931,129625,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DS
SP3 5DT,10,N,2,2,2,0,0,2,0,400236,128851,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DT
SP3 5DU,10,N,6,5,0,6,0,5,1,397527,131220,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5DU
SP3 5DW,10,N,4,4,3,1,0,4,0,401613,129064,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5DW
SP3 5DX,10,N,3,3,3,0,0,3,0,401266,131514,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5DX
SP3 5DY,10,N,37,37,37,0,0,37,0,401702,131639,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5DY,
SP3 5DZ,10,N,5,5,5,0,0,5,0,401536,131532,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5DZ
SP3 5EA,10,N,1,1,1,0,0,1,0,401430,131522,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EA
SP3 5EB,10,N,22,22,8,14,0,22,0,401789,131258,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EB
SP3 5ED,10,N,8,8,8,0,0,8,0,401790,131548,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5ED
SP3 5EE,10,N,16,16,16,0,0,16,0,401976,131508,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5EE,
SP3 5EG,10,N,30,30,29,1,0,30,0,401827,131508,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5EG,
SP3 5EL,10,N,10,10,8,2,0,10,0,403292,131372,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EL
SP3 5EN,10,N,11,11,11,0,0,11,0,402702,132027,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EN
SP3 5EP,10,N,3,3,3,0,0,3,0,401965,131765,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EP
SP3 5EQ,10,N,6,6,6,0,0,6,0,402373,131367,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EQ
SP3 5ER,10,N,4,4,4,0,0,4,0,401982,131835,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5ER
SP3 5ES,10,N,3,3,3,0,0,3,0,402126,131682,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5ES
SP3 5ET,10,N,2,2,1,1,0,2,0,400636,132584,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5ET
SP3 5EU,10,N,15,15,8,7,0,15,0,400462,134191,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EU
SP3 5EW,10,N,12,12,12,0,0,12,0,400957,131170,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5EW,
SP3 5EX,10,N,3,3,3,0,0,3,0,400591,132946,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EX
SP3 5EY,10,N,2,2,2,0,0,2,0,400819,131193,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5EY
SP3 5EZ,10,N,2,2,2,0,0,2,0,400840,130555,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5EZ
SP3 5FA,10,N,5,4,4,1,0,4,1,397585,130836,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5FA
SP3 5GN,10,N,5,5,1,4,0,5,0,392447,133843,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5GN
SP3 5HA,10,N,1,1,1,0,0,1,0,400783,130960,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HA
SP3 5HB,10,N,21,21,20,1,0,21,0,400998,131080,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HB,
SP3 5HE,10,N,2,2,2,0,0,2,0,402119,132461,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HE
SP3 5HG,10,N,19,19,19,0,0,19,0,401644,131636,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HG,
SP3 5HH,10,N,15,15,14,1,0,15,0,400880,131744,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HH,
SP3 5HL,10,N,1,1,1,0,0,1,0,400938,131943,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HL
SP3 5HN,10,N,22,22,22,0,0,22,0,401219,131603,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HN,
SP3 5HP,10,N,18,18,18,0,0,18,0,401075,131322,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HP,
SP3 5HR,10,N,15,15,15,0,0,15,0,400991,131484,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HR,
SP3 5HS,10,N,1,1,1,0,0,1,0,401008,131519,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HS
SP3 5HT,10,N,1,1,1,0,0,1,0,401003,131557,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HT
SP3 5HU,10,N,20,20,20,0,0,20,0,401278,131383,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5HU,
SP3 5HW,10,N,8,8,7,1,0,8,0,401197,131400,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HW
SP3 5HY,10,N,5,5,5,0,0,5,0,401395,131444,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HY
SP3 5HZ,10,N,10,10,1,9,0,10,0,400823,130834,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5HZ
SP3 5JA,10,N,8,8,7,1,0,8,0,400584,128409,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JA
SP3 5JB,10,N,27,27,27,0,0,27,0,400698,128355,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5JB,
SP3 5JD,10,N,1,1,0,1,0,1,0,401132,128515,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JD
SP3 5JE,10,N,2,2,2,0,0,2,0,401276,128532,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JE
SP3 5JF,10,N,4,4,4,0,0,4,0,401087,128796,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JF
SP3 5JG,10,N,6,6,5,1,0,6,0,400985,129018,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JG
SP3 5JH,10,N,7,7,5,2,0,7,0,400676,128527,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JH
SP3 5JJ,10,N,2,2,2,0,0,2,0,400595,128571,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JJ
SP3 5JL,10,N,43,43,41,2,0,43,0,400530,128709,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5JL,
SP3 5JN,10,N,12,12,12,0,0,12,0,400315,128820,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5JN,
SP3 5JP,10,N,7,7,6,1,0,7,0,400046,129072,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JP
SP3 5JQ,10,N,6,6,6,0,0,6,0,400974,129059,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JQ
SP3 5JR,10,N,5,5,5,0,0,5,0,399951,129354,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JR
SP3 5JS,10,N,6,6,6,0,0,6,0,399984,129148,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JS
SP3 5JT,10,N,5,5,5,0,0,5,0,400286,128926,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JT
SP3 5JU,10,N,11,11,11,0,0,11,0,400167,128899,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JU
SP3 5JW,10,N,33,33,32,1,0,33,0,400173,129093,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5JW,
SP3 5JX,10,N,8,8,8,0,0,8,0,400016,128987,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5JX
SP3 5JY,10,N,23,23,23,0,0,23,0,399860,129103,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5JY,
SP3 5JZ,10,N,16,16,16,0,0,16,0,399734,129110,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5JZ,
SP3 5LA,10,N,14,14,14,0,0,14,0,399635,129481,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5LA,
SP3 5LB,10,N,14,14,14,0,0,14,0,399502,129214,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5LB,
SP3 5LD,10,N,19,19,19,0,0,19,0,399620,129188,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5LD,
SP3 5LE,10,N,24,24,24,0,0,24,0,399531,129160,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5LE,
SP3 5LF,10,N,19,19,19,0,0,19,0,399541,129051,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5LF,
SP3 5LG,10,N,3,3,3,0,0,3,0,399205,128803,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LG
SP3 5LJ,10,N,4,4,4,0,0,4,0,400232,128186,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LJ
SP3 5LL,10,N,3,3,3,0,0,3,0,399626,128049,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LL
SP3 5LN,10,N,1,1,1,0,0,1,0,400161,126634,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LN
SP3 5LP,10,N,6,6,6,0,0,6,0,400322,128989,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LP
SP3 5LQ,10,N,1,1,1,0,0,1,0,399579,128142,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LQ
SP3 5LR,10,N,1,1,0,1,0,1,0,400437,126768,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LR
SP3 5LS,10,N,4,4,4,0,0,4,0,399504,129105,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LS
SP3 5LT,10,N,3,3,3,0,0,3,0,399232,129484,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LT
SP3 5LU,10,N,6,6,6,0,0,6,0,398784,129624,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LU
SP3 5LX,10,N,3,3,3,0,0,3,0,398784,129305,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LX
SP3 5LY,10,N,1,1,1,0,0,1,0,398682,129154,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LY
SP3 5LZ,10,N,7,7,7,0,0,7,0,398562,129075,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5LZ
SP3 5NA,10,N,5,5,5,0,0,5,0,398879,128866,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NA
SP3 5NB,10,N,4,4,4,0,0,4,0,399108,128732,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NB
SP3 5ND,10,N,13,13,13,0,0,13,0,398491,128676,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5ND,
SP3 5NE,10,N,2,2,2,0,0,2,0,398013,128044,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NE
SP3 5NF,10,N,2,2,2,0,0,2,0,397983,127939,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NF
SP3 5NG,10,N,8,8,8,0,0,8,0,397928,128346,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NG
SP3 5NH,10,N,2,2,2,0,0,2,0,398672,127887,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NH
SP3 5NJ,10,N,4,4,4,0,0,4,0,399004,128013,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NJ
SP3 5NL,10,N,14,14,10,4,0,14,0,398104,127665,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NL
SP3 5NQ,10,N,14,14,13,1,0,14,0,397513,128738,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5NQ,
SP3 5NT,10,N,9,9,9,0,0,9,0,396045,127230,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NT
SP3 5NU,10,N,6,6,6,0,0,6,0,396295,127093,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NU
SP3 5NX,10,N,8,8,8,0,0,8,0,396509,126984,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NX
SP3 5NY,10,N,2,2,2,0,0,2,0,396852,126795,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5NY
SP3 5PA,10,N,8,8,8,0,0,8,0,396475,127145,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PA
SP3 5PB,10,N,1,1,1,0,0,1,0,396726,127190,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PB
SP3 5PD,10,N,1,1,1,0,0,1,0,396872,127245,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PD
SP3 5PE,10,N,5,5,5,0,0,5,0,397011,127219,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PE
SP3 5PF,10,N,10,10,10,0,0,10,0,396635,127041,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PF
SP3 5PG,10,N,4,4,4,0,0,4,0,396539,126821,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PG
SP3 5PH,10,N,7,7,6,1,0,7,0,396273,126281,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PH
SP3 5PJ,10,N,3,3,3,0,0,3,0,397223,126748,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PJ
SP3 5PL,10,N,3,3,3,0,0,3,0,397339,126699,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PL
SP3 5PN,10,N,3,3,3,0,0,3,0,396042,127474,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PN
SP3 5PQ,10,N,2,2,2,0,0,2,0,396506,126507,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PQ
SP3 5PR,10,N,4,4,3,1,0,4,0,395972,126288,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PR
SP3 5PS,10,N,4,4,3,1,0,4,0,395719,125488,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PS
SP3 5PT,10,N,2,2,2,0,0,2,0,394127,125200,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PT
SP3 5PU,10,N,4,4,4,0,0,4,0,393933,125497,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PU
SP3 5PW,10,N,16,16,16,0,0,16,0,395773,127345,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5PW,
SP3 5PX,10,N,5,5,4,1,0,5,0,395024,125773,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PX
SP3 5PY,10,N,6,6,6,0,0,6,0,395301,126463,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PY
SP3 5PZ,10,N,7,7,7,0,0,7,0,395031,126339,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5PZ
SP3 5QA,10,N,5,5,5,0,0,5,0,395154,126624,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5QA
SP3 5QB,10,N,3,3,3,0,0,3,0,395597,126480,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5QB
SP3 5QD,10,N,15,15,14,1,0,15,0,395606,126612,E92000001,E19000002,E18000010,,E06000054,E05008363,S,SP3 5QD,
SP3 5QE,10,N,1,1,1,0,0,1,0,395459,126653,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5QE
SP3 5QF,10,N,7,7,7,0,0,7,0,395494,127015,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5QF
SP3 5QG,10,N,1,1,1,0,0,1,0,395385,127390,E92000001,E19000002,E18000010,,E06000054,E05008401,S,,SP3 5QG
SP3 5QH,10,N,1,1,0,1,0,1,0,397038,127241,E92000001,E19000002,E18000010,,E06000054,E05008363,L,,SP3 5QH
SP3 5QP,10,N,24,24,24,0,0,24,0,398941,131888,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5QP,
SP3 5QQ,10,N,2,2,2,0,0,2,0,395654,127299,E92000001,E19000002,E18000010,,E06000054,E05008363,S,,SP3 5QQ
SP3 5QR,10,N,4,4,4,0,0,4,0,398985,132079,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5QR
SP3 5QS,10,N,3,3,2,1,0,3,0,398956,132187,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5QS
SP3 5QT,10,N,13,13,13,0,0,13,0,398912,132212,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5QT,
SP3 5QU,10,N,7,7,7,0,0,7,0,398830,132317,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5QU
SP3 5QX,10,N,11,11,10,1,0,11,0,399085,132387,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5QX
SP3 5QY,10,N,15,15,14,1,0,15,0,398790,132594,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5QY,
SP3 5QZ,10,N,2,2,2,0,0,2,0,398825,132589,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5QZ
SP3 5RA,10,N,3,3,3,0,0,3,0,398805,132639,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RA
SP3 5RB,10,N,3,3,3,0,0,3,0,398860,132624,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RB
SP3 5RD,10,N,3,3,3,0,0,3,0,399619,133337,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RD
SP3 5RE,10,N,7,7,7,0,0,7,0,398877,131675,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RE
SP3 5RF,10,N,3,3,3,0,0,3,0,399078,131523,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RF
SP3 5RG,10,N,11,11,11,0,0,11,0,398976,131567,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RG
SP3 5RJ,10,N,7,7,6,1,0,7,0,399211,131208,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RJ
SP3 5RL,10,N,2,2,2,0,0,2,0,399180,131144,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RL
SP3 5RN,10,N,3,3,3,0,0,3,0,398682,130564,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RN
SP3 5RP,10,N,3,3,3,0,0,3,0,400014,130775,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RP
SP3 5RQ,10,N,4,4,4,0,0,4,0,399057,131388,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RQ
SP3 5RR,10,N,6,6,5,1,0,6,0,400191,131352,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RR
SP3 5RS,10,N,6,6,6,0,0,6,0,399225,131798,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RS
SP3 5RT,10,N,4,4,4,0,0,4,0,398929,131631,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RT
SP3 5RU,10,N,2,2,2,0,0,2,0,398586,132748,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RU
SP3 5RW,10,N,2,2,2,0,0,2,0,398667,130533,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RW
SP3 5RZ,10,N,6,6,6,0,0,6,0,393017,131865,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5RZ
SP3 5SA,10,N,3,3,3,0,0,3,0,394670,131890,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SA
SP3 5SB,10,N,1,1,1,0,0,1,0,394706,131296,E92000001,E19000002,E18000010,,E06000054,E05008401,S,,SP3 5SB
SP3 5SD,10,N,1,1,1,0,0,1,0,395265,131543,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SD
SP3 5SE,10,N,3,3,3,0,0,3,0,393338,132705,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SE
SP3 5SF,10,N,6,5,5,1,0,5,1,393489,132993,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SF
SP3 5SG,10,N,4,4,4,0,0,4,0,393560,133092,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SG
SP3 5SH,10,N,20,20,16,4,0,20,0,393717,132961,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5SH,
SP3 5SJ,10,N,8,8,8,0,0,8,0,393901,133046,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SJ
SP3 5SL,10,N,8,8,8,0,0,8,0,394023,133073,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SL
SP3 5SN,10,N,29,26,22,7,0,26,3,392604,133104,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5SN,
SP3 5SQ,10,N,8,8,8,0,0,8,0,393638,133147,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SQ
SP3 5SS,10,N,3,3,2,1,0,3,0,390120,134360,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SS
SP3 5ST,10,N,5,5,4,1,0,5,0,390961,134644,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5ST
SP3 5SU,10,N,19,19,18,1,0,19,0,391205,134516,E92000001,E19000002,E18000010,,E06000054,E05008380,S,SP3 5SU,
SP3 5SW,10,N,5,5,5,0,0,5,0,389826,134323,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SW
SP3 5SX,10,N,1,1,1,0,0,1,0,391936,134584,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SX
SP3 5SY,10,N,1,1,1,0,0,1,0,392238,135659,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SY
SP3 5SZ,10,N,1,1,1,0,0,1,0,393442,134242,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5SZ
SP3 5TA,10,N,1,1,1,0,0,1,0,397936,135072,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5TA
SP3 5TE,10,N,1,1,1,0,0,1,0,401634,131548,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5TE
SP3 5UA,10,N,15,15,5,10,0,15,0,392491,133046,E92000001,E19000002,E18000010,,E06000054,E05008380,S,,SP3 5UA
