,Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,post
817447,SP5 2SR,SP5  2SR,SP5 2SR,Jul-95,1,419869,120214,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008384,Redlynch and Landford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031992,,E02006677,,1A4,Rural residents;Farming communities;Older farming communities,-1.71834,50.980994,Postcode Level,04/01/2018,"(50.980994, -1.71834)",1465966,sp52sr
817748,SP7 8GL,SP7  8GL,SP7 8GL,Mar-13,0,387543,122902,1,E10000009,Dorset,E07000050,North Dorset,E05010010,Shaftesbury East,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020455,,E02004257,,5A1,Urbanites;Urban professionals and families;White professionals,-2.178917,51.005367,Postcode Level,04/01/2018,"(51.005367, -2.178917)",1467449,sp78gl
817785,SP7 0DJ,SP7  0DJ,SP7 0DJ,Jan-80,0,388398,120929,1,E10000009,Dorset,E07000050,North Dorset,E05010013,The Beacon,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020460,,E02004259,,1A4,Rural residents;Farming communities;Older farming communities,-2.166667,50.987643,Postcode Level,04/01/2018,"(50.987643, -2.166667)",1467205,sp70dj
817924,SP118EA,SP11 8EA,SP11 8EA,Jan-80,0,430248,146232,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.568324,51.214494,Postcode Level,04/01/2018,"(51.214494, -1.568324)",1462599,sp118ea
818156,SP119JA,SP11 9JA,SP11 9JA,Jan-80,0,432105,149651,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023196,,E02004818,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.541433,51.245135,Postcode Level,04/01/2018,"(51.245135, -1.541433)",1462835,sp119ja
818265,SP8 5DD,SP8  5DD,SP8 5DD,Jan-80,0,377928,130781,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020440,,E02004256,,1B3,Rural residents;Rural tenants;Ageing rural flat tenants,-2.316435,51.075925,Postcode Level,04/01/2018,"(51.075925, -2.316435)",1468132,sp85dd
818394,SP9 7SQ,SP9  7SQ,SP9 7SQ,Jan-80,0,423765,148254,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008399,Tidworth,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031880,,E02006643,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.661005,51.232981,Postcode Level,04/01/2018,"(51.232981, -1.661005)",1468525,sp97sq
818564,SP5 2NW,SP5  2NW,SP5 2NW,Jun-81,0,420092,119577,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008384,Redlynch and Landford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031992,,E02006677,,6A3,Suburbanites;Suburban achievers;Detached retirement living,-1.71519,50.975251,Postcode Level,04/01/2018,"(50.975251, -1.71519)",1465896,sp52nw
818751,SP118JN,SP11 8JN,SP11 8JN,Jan-80,0,427919,141979,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-1.601985,51.176366,Postcode Level,04/01/2018,"(51.176366, -1.601985)",1462640,sp118jn
819115,SP7 8JS,SP7  8JS,SP7 8JS,Aug-93,0,386230,122947,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020454,,E02004257,,5B2,Urbanites;Ageing urban living;Communal retirement,-2.197632,51.005741,Postcode Level,04/01/2018,"(51.005741, -2.197632)",1467486,sp78js
819138,SP1 2AZ,SP1  2AZ,SP1 2AZ,Dec-95,0,414595,129770,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008389,Salisbury St Edmund and Milford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032023,,E02006674,,7A2,Constrained city dwellers;Challenged diversity;Hampered aspiration,-1.793076,51.067074,Postcode Level,04/01/2018,"(51.067074, -1.793076)",1460297,sp12az
819411,SP3 5QE,SP3  5QE,SP3 5QE,Jan-80,0,395459,126653,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032029,,E02006676,,1A3,Rural residents;Farming communities;Agricultural communities,-2.066143,51.039215,Postcode Level,04/01/2018,"(51.039215, -2.066143)",1464233,sp35qe
819537,SP5 4ER,SP5  4ER,SP5 4ER,Jan-80,0,416803,126214,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008360,Downton and Ebble Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032000,,E02006672,,1B3,Rural residents;Rural tenants;Ageing rural flat tenants,-1.761739,51.035044,Postcode Level,04/01/2018,"(51.035044, -1.761739)",1466277,sp54er
819546,SP2 2NJ,SP2  2NJ,SP2 2NJ,Oct-16,1,413857,130232,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032024,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.803591,51.071247,Postcode Level,04/01/2018,"(51.071247, -1.803591)",1463216,sp22nj
819835,SP8 4HW,SP8  4HW,SP8 4HW,Jan-80,1,380725,128134,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020450,,E02004256,,1A3,Rural residents;Farming communities;Agricultural communities,-2.276369,51.052224,Postcode Level,04/01/2018,"(51.052224, -2.276369)",1467909,sp84hw
820003,SP2 2NY,SP2  2NY,SP2 2NY,Oct-17,1,413857,130232,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032024,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.803591,51.071247,Postcode Level,04/01/2018,"(51.071247, -1.803591)",1463225,sp22ny
820282,SP1 3DA,SP1  3DA,SP1 3DA,Jan-80,0,414466,130947,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008390,Salisbury St Francis and Stratford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032020,,E02006668,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.79488,51.077667,Postcode Level,04/01/2018,"(51.077667, -1.79488)",1460509,sp13da
820469,SP116AR,SP11 6AR,SP11 6AR,Jan-80,0,441836,150671,1,E10000014,Hampshire,E07000084,Basingstoke and Deane,E05004436,"Burghclere, Highclere and St Mary Bourne",E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01022514,,E02004694,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.401911,51.253678,Postcode Level,04/01/2018,"(51.253678, -1.401911)",1462009,sp116ar
820508,SP3 4ST,SP3  4ST,SP3 4ST,Jan-80,0,407644,140685,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032026,,E02006661,,1B1,Rural residents;Rural tenants;Rural life,-1.892058,51.165361,Postcode Level,04/01/2018,"(51.165361, -1.892058)",1464039,sp34st
820808,SP3 4EU,SP3  4EU,SP3 4EU,Jan-80,0,407021,143407,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032026,,E02006661,,1B1,Rural residents;Rural tenants;Rural life,-1.900916,51.189845,Postcode Level,04/01/2018,"(51.189845, -1.900916)",1463919,sp34eu
820922,SP116UL,SP11 6UL,SP11 6UL,Aug-13,0,437747,147423,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,8D3,Hard-pressed living;Migration and churn;Hard-Pressed European Settlers,-1.460828,51.224754,Postcode Level,04/01/2018,"(51.224754, -1.460828)",1462280,sp116ul
821081,SP5 1SX,SP5  1SX,SP5 1SX,Jan-80,0,422887,132410,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008421,Winterslow,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032041,,E02006675,,1A2,Rural residents;Farming communities;Established farming communities,-1.674583,51.09055,Postcode Level,04/01/2018,"(51.09055, -1.674583)",1465742,sp51sx
821090,SP1 1JZ,SP1  1JZ,SP1 1JZ,Jan-80,0,415123,130210,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008389,Salisbury St Edmund and Milford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032015,,E02006671,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.785532,51.071023,Postcode Level,04/01/2018,"(51.071023, -1.785532)",1460179,sp11jz
821478,SP1 2SB,SP1  2SB,SP1 2SB,Jan-80,0,414574,129685,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032022,,E02006673,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.793389,51.066316,Postcode Level,04/01/2018,"(51.066316, -1.793389)",1460445,sp12sb
821686,SP3 4AZ,SP3  4AZ,SP3 4AZ,Oct-84,0,404101,131502,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032004,,E02006669,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.94283,51.082823,Postcode Level,04/01/2018,"(51.082823, -1.94283)",1463866,sp34az
821865,SP4 8LF,SP4  8LF,SP4 8LF,Jan-95,0,415242,146619,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008337,"Bulford, Allington and Figheldean",E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01032696,,E02006661,,1B1,Rural residents;Rural tenants;Rural life,-1.783145,51.218569,Postcode Level,04/01/2018,"(51.218569, -1.783145)",1465293,sp48lf
821995,SP104BT,SP10 4BT,SP10 4BT,Jan-80,0,436216,147101,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023156,,E02004815,,8D3,Hard-pressed living;Migration and churn;Hard-Pressed European Settlers,-1.482796,51.221962,Postcode Level,04/01/2018,"(51.221962, -1.482796)",1461519,sp104bt
822386,SP4 7PH,SP4  7PH,SP4 7PH,Jan-80,0,416302,141306,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031978,,E02006663,,5A1,Urbanites;Urban professionals and families;White professionals,-1.768207,51.170766,Postcode Level,04/01/2018,"(51.170766, -1.768207)",1465051,sp47ph
822545,SP9 7TN,SP9  7TN,SP9 7TN,Jan-80,0,422732,145254,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023197,,E02004820,,1B1,Rural residents;Rural tenants;Rural life,-1.675989,51.206047,Postcode Level,04/01/2018,"(51.206047, -1.675989)",1468541,sp97tn
822675,SP1 3JF,SP1  3JF,SP1 3JF,Jan-80,0,415661,131937,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008391,Salisbury St Mark's and Bishopdown,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031985,,E02006666,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.77778,51.086538,Postcode Level,04/01/2018,"(51.086538, -1.77778)",1460607,sp13jf
822783,SP2 7ED,SP2  7ED,SP2 7ED,Jan-80,0,413686,130354,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032003,,E02006670,,7A2,Constrained city dwellers;Challenged diversity;Hampered aspiration,-1.806037,51.072354,Postcode Level,04/01/2018,"(51.072354, -1.806037)",1463283,sp27ed
822815,SP117PB,SP11 7PB,SP11 7PB,Jan-80,0,434549,141455,1,E10000014,Hampshire,E07000093,Test Valley,E05004632,Anna,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023160,,E02004821,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.507196,51.171293,Postcode Level,04/01/2018,"(51.171293, -1.507196)",1462480,sp117pb
823054,SP1 3TJ,SP1  3TJ,SP1 3TJ,Jan-80,0,414600,130772,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008389,Salisbury St Edmund and Milford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032016,,E02006671,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.792974,51.07609,Postcode Level,04/01/2018,"(51.07609, -1.792974)",1460741,sp13tj
823564,SP104ET,SP10 4ET,SP10 4ET,Jan-83,0,434775,147274,1,E10000014,Hampshire,E07000093,Test Valley,E05004636,Charlton,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023169,,E02004814,,6A3,Suburbanites;Suburban achievers;Detached retirement living,-1.503413,51.223606,Postcode Level,04/01/2018,"(51.223606, -1.503413)",1461552,sp104et
823612,SP8 5LY,SP8  5LY,SP8 5LY,Jan-80,0,381466,121520,1,E10000009,Dorset,E07000050,North Dorset,E05010014,The Stours & Marnhull,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020462,,E02004256,,1A2,Rural residents;Farming communities;Established farming communities,-2.265457,50.992775,Postcode Level,04/01/2018,"(50.992775, -2.265457)",1468230,sp85ly
823750,SP2 8QQ,SP2  8QQ,SP2 8QQ,Oct-12,0,414764,127413,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008360,Downton and Ebble Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032000,,E02006672,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.79077,51.045881,Postcode Level,04/01/2018,"(51.045881, -1.79077)",1463659,sp28qq
823847,SP6 2LT,SP6  2LT,SP6 2LT,Jan-80,0,416945,115462,1,E10000014,Hampshire,E07000091,New Forest,E05008934,Forest North West,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023025,,E02004779,,1A2,Rural residents;Farming communities;Established farming communities,-1.760212,50.938356,Postcode Level,04/01/2018,"(50.938356, -1.760212)",1466896,sp62lt
823872,SP2 8NA,SP2  8NA,SP2 8NA,Jan-80,0,413075,129179,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008388,Salisbury Harnham,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032008,,E02006673,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.81479,51.061796,Postcode Level,04/01/2018,"(51.061796, -1.81479)",1463617,sp28na
823972,SP5 1NU,SP5  1NU,SP5 1NU,Jan-80,0,426996,128483,1,E10000014,Hampshire,E07000093,Test Valley,E05004639,Dun Valley,E92000001,England,E12000008,South East,E14000901,Romsey and Southampton North,E15000008,South East,E16000133,Hampshire,E01023177,,E02004822,,1A2,Rural residents;Farming communities;Established farming communities,-1.616206,51.05506,Postcode Level,04/01/2018,"(51.05506, -1.616206)",1465667,sp51nu
824352,SP1 1NP,SP1  1NP,SP1 1NP,Jan-80,0,415875,129832,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008367,"Laverstock, Ford and Old Sarum",E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032012,,E02006672,,1C3,Rural residents;Ageing rural dwellers;Detached rural retirement,-1.774816,51.067604,Postcode Level,04/01/2018,"(51.067604, -1.774816)",1460204,sp11np
824754,SP8 5AY,SP8  5AY,SP8 5AY,Jan-80,0,377533,131109,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020440,,E02004256,,1B3,Rural residents;Rural tenants;Ageing rural flat tenants,-2.32209,51.078852,Postcode Level,04/01/2018,"(51.078852, -2.32209)",1468109,sp85ay
825280,SP7 0AU,SP7  0AU,SP7 0AU,Jan-80,0,383306,118386,1,E10000009,Dorset,E07000050,North Dorset,E05010013,The Beacon,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020460,,E02004259,,1A2,Rural residents;Farming communities;Established farming communities,-2.239095,50.96465,Postcode Level,04/01/2018,"(50.96465, -2.239095)",1467177,sp70au
825355,SP2 0BN,SP2  0BN,SP2 0BN,Jan-80,0,410641,131343,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008419,Wilton and Lower Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032039,,E02006669,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.84946,51.081304,Postcode Level,04/01/2018,"(51.081304, -1.84946)",1462998,sp20bn
825607,SP8 5BG,SP8  5BG,SP8 5BG,Jan-80,0,377462,130672,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020440,,E02004256,,1B1,Rural residents;Rural tenants;Rural life,-2.323079,51.074926,Postcode Level,04/01/2018,"(51.074926, -2.323079)",1468116,sp85bg
825777,SP5 5LT,SP5  5LT,SP5 5LT,Jan-80,0,400663,120743,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031990,,E02006669,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.991928,50.98609,Postcode Level,04/01/2018,"(50.98609, -1.991928)",1466477,sp55lt
826043,SP118DU,SP11 8DU,SP11 8DU,Jan-80,0,430733,146285,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.561376,51.214945,Postcode Level,04/01/2018,"(51.214945, -1.561376)",1462594,sp118du
826556,SP4 6DH,SP4  6DH,SP4 6DH,Jan-80,0,416233,132789,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008367,"Laverstock, Ford and Old Sarum",E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032011,,E02006672,,1B1,Rural residents;Rural tenants;Rural life,-1.769564,51.094178,Postcode Level,04/01/2018,"(51.094178, -1.769564)",1464700,sp46dh
826608,SP5 3RE,SP5  3RE,SP5 3RE,Jan-80,0,421096,126627,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008328,Alderbury and Whiteparish,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031971,,E02006675,,6B4,Suburbanites;Semi-detached suburbia;Older workers and retirement,-1.700491,51.038617,Postcode Level,04/01/2018,"(51.038617, -1.700491)",1466174,sp53re
826698,SP2 7ER,SP2  7ER,SP2 7ER,Jan-80,0,413178,130473,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032003,,E02006670,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.813283,51.073435,Postcode Level,04/01/2018,"(51.073435, -1.813283)",1463293,sp27er
826884,SP110DP,SP11 0DP,SP11 0DP,Jan-80,0,439468,156853,1,E10000014,Hampshire,E07000093,Test Valley,E05004634,Bourne Valley,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023165,,E02004814,,1A3,Rural residents;Farming communities;Agricultural communities,-1.435144,51.309428,Postcode Level,04/01/2018,"(51.309428, -1.435144)",1461830,sp110dp
827172,SP103XE,SP10 3XE,SP10 3XE,Jun-03,0,434290,145172,1,E10000014,Hampshire,E07000093,Test Valley,E05004632,Anna,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01032870,,E02004818,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.510558,51.204735,Postcode Level,04/01/2018,"(51.204735, -1.510558)",1461466,sp103xe
827563,SP5 1LA,SP5  1LA,SP5 1LA,Jan-80,0,427506,129295,1,E10000014,Hampshire,E07000093,Test Valley,E05004639,Dun Valley,E92000001,England,E12000008,South East,E14000901,Romsey and Southampton North,E15000008,South East,E16000133,Hampshire,E01023177,,E02004822,,1A2,Rural residents;Farming communities;Established farming communities,-1.608868,51.062338,Postcode Level,04/01/2018,"(51.062338, -1.608868)",1465637,sp51la
827577,SP9 7TQ,SP9  7TQ,SP9 7TQ,Jan-80,0,423180,145645,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023197,,E02004820,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.669551,51.209545,Postcode Level,04/01/2018,"(51.209545, -1.669551)",1468542,sp97tq
827897,SP102JA,SP10 2JA,SP10 2JA,Jul-02,0,436139,145156,1,E10000014,Hampshire,E07000093,Test Valley,E05004651,Winton,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023216,,E02004819,,4A2,Multicultural metropolitans;Rented family living;Private renting new arrivals,-1.484094,51.204478,Postcode Level,04/01/2018,"(51.204478, -1.484094)",1461057,sp102ja
827914,SP4 6DA,SP4  6DA,SP4 6DA,Jul-90,0,415682,133039,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008367,"Laverstock, Ford and Old Sarum",E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032011,,E02006672,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.777432,51.096446,Postcode Level,04/01/2018,"(51.096446, -1.777432)",1464694,sp46da
828036,SP5 3QY,SP5  3QY,SP5 3QY,Jan-80,0,418244,125167,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008360,Downton and Ebble Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031995,,E02006677,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.741231,51.025579,Postcode Level,04/01/2018,"(51.025579, -1.741231)",1466170,sp53qy
828289,SP104BD,SP10 4BD,SP10 4BD,Jan-80,0,436484,147007,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023153,,E02004815,,7A1,Constrained city dwellers;Challenged diversity;Transitional Eastern European neighbourhood,-1.478969,51.221099,Postcode Level,04/01/2018,"(51.221099, -1.478969)",1461508,sp104bd
828645,SP1 1TF,SP1  1TF,SP1 1TF,Jan-80,0,414377,130000,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032022,,E02006673,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.796178,51.069148,Postcode Level,04/01/2018,"(51.069148, -1.796178)",1460274,sp11tf
828697,SP4 0NN,SP4  0NN,SP4 0NN,Jan-80,0,418738,136938,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008331,Bourne and Woodford Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032032,,E02006664,,1A2,Rural residents;Farming communities;Established farming communities,-1.733591,51.131415,Postcode Level,04/01/2018,"(51.131415, -1.733591)",1464647,sp40nn
828714,SP1 1HW,SP1  1HW,SP1 1HW,Jan-80,0,414785,129988,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008389,Salisbury St Edmund and Milford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032022,,E02006673,,2C1,Cosmopolitans;Comfortable cosmopolitan;Migrant families,-1.790366,51.069035,Postcode Level,04/01/2018,"(51.069035, -1.790366)",1460158,sp11hw
829154,SP6 1RD,SP6  1RD,SP6 1RD,Jan-92,0,414305,114856,1,E10000014,Hampshire,E07000091,New Forest,E05008933,Fordingbridge,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023024,,E02004779,,6A3,Suburbanites;Suburban achievers;Detached retirement living,-1.797808,50.932978,Postcode Level,04/01/2018,"(50.932978, -1.797808)",1466763,sp61rd
829354,SP4 0AU,SP4  0AU,SP4 0AU,Jan-80,0,419665,137326,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008331,Bourne and Woodford Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032032,,E02006664,,1A2,Rural residents;Farming communities;Established farming communities,-1.720036,51.135281,Postcode Level,04/01/2018,"(51.135281, -1.720036)",1464538,sp40au
