PC,PQ,PR,TP,DQ,RP,BP,PD,MP,UM,EA,NO,CY,RH,LH,CC,DC,WC,LS
SP116HS,10,N,8,8,8,0,0,8,0,437047,149109,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116HT,10,N,22,22,22,0,0,22,0,436919,149100,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116HU,10,N,2,2,2,0,0,2,0,437100,149468,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116HW,10,N,14,14,14,0,0,14,0,436870,149009,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116HX,10,N,30,30,30,0,0,30,0,436616,148888,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116HY,10,N,3,3,3,0,0,3,0,437300,149846,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116HZ,10,N,7,7,6,1,0,7,0,436825,149940,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JA,10,N,1,1,1,0,0,1,0,436749,149690,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JB,10,N,5,5,5,0,0,5,0,437281,149993,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JD,10,N,8,8,8,0,0,8,0,437479,149415,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JE,10,N,37,37,37,0,0,37,0,437909,149846,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JF,10,N,24,24,24,0,0,24,0,437839,149862,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JG,10,N,3,3,3,0,0,3,0,438320,151177,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116JH,10,N,10,10,9,1,0,10,0,437750,149093,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JJ,10,N,4,4,2,2,0,4,0,438040,149066,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JL,10,N,9,9,9,0,0,9,0,438119,149012,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JN,10,N,6,6,6,0,0,6,0,438231,149130,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JP,10,N,5,5,2,3,0,5,0,436770,147114,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116JQ,10,N,3,3,3,0,0,3,0,438237,150639,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116JR,10,N,26,26,26,0,0,26,0,436758,149785,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JS,10,N,1,1,0,1,0,1,0,436803,149554,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,L
SP116JT,10,N,14,14,14,0,0,14,0,436790,149198,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JU,10,N,1,1,1,0,0,1,0,438338,148786,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JW,10,N,8,8,8,0,0,8,0,437919,148790,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JX,10,N,7,7,7,0,0,7,0,436797,149263,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116JY,10,N,8,8,8,0,0,8,0,436699,149797,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116LA,10,N,2,2,1,1,0,2,0,437477,145176,E92000001,E19000002,E18000009,E10000014,E07000093,E05012931,S
SP116LB,10,N,2,2,2,0,0,2,0,438191,145170,E92000001,E19000002,E18000009,E10000014,E07000093,E05012930,S
SP116LD,10,N,3,3,3,0,0,3,0,439505,145839,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LE,10,N,7,7,6,1,0,7,0,438471,144096,E92000001,E19000002,E18000009,E10000014,E07000093,E05012932,S
SP116LF,10,N,15,15,14,1,0,15,0,438554,145296,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LG,10,N,6,6,6,0,0,6,0,438886,144929,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LH,10,N,35,35,35,0,0,35,0,438570,146004,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LJ,10,N,51,46,31,20,0,46,5,440002,146250,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LL,10,N,2,2,2,0,0,2,0,441383,146627,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116LN,10,N,3,3,2,1,0,3,0,441223,146489,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116LP,10,N,1,1,1,0,0,1,0,442112,146505,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116LQ,10,N,2,2,1,1,0,2,0,438501,145976,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LR,10,N,11,11,9,2,0,11,0,439289,146074,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LS,10,N,9,9,9,0,0,9,0,439659,145950,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LT,10,N,1,1,0,1,0,1,0,437605,146658,E92000001,E19000002,E18000009,E10000014,E07000093,E05012930,S
SP116LU,10,N,44,43,37,7,0,43,1,439275,147167,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LW,10,N,2,2,2,0,0,2,0,441857,146579,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116LX,10,N,32,8,30,2,0,8,24,440247,147669,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116LY,10,N,51,51,50,1,0,51,0,439102,147056,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116LZ,10,N,2,2,2,0,0,2,0,441145,147305,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116NA,10,N,9,9,6,3,0,9,0,442238,147972,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116NB,10,N,4,4,4,0,0,4,0,442392,147885,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116ND,10,N,35,33,32,3,0,33,2,439305,146754,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116NF,10,N,5,5,4,1,0,5,0,438221,147112,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116NG,10,N,6,6,6,0,0,6,0,439870,147270,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116NJ,10,N,1,1,0,1,0,1,0,441220,143413,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NL,10,N,2,2,2,0,0,2,0,441769,143560,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NN,10,N,6,6,6,0,0,6,0,441902,143638,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NP,10,N,2,2,2,0,0,2,0,442051,143607,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NQ,10,N,35,35,35,0,0,35,0,436644,149700,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116NR,10,N,2,2,2,0,0,2,0,441887,143309,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NS,10,N,6,4,6,0,0,4,2,439935,147524,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116NT,10,N,1,1,1,0,0,1,0,442188,143638,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NU,10,N,29,29,29,0,0,29,0,441998,143503,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NW,10,N,2,2,2,0,0,2,0,441988,143533,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NX,10,N,2,2,2,0,0,2,0,442207,144021,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NY,10,N,1,1,1,0,0,1,0,442521,143915,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116NZ,10,N,6,6,6,0,0,6,0,437092,147651,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116PA,10,N,1,1,1,0,0,1,0,442545,143992,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PB,10,N,11,11,8,3,0,11,0,442610,144037,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PD,10,N,5,5,5,0,0,5,0,442765,144021,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PE,10,N,4,4,4,0,0,4,0,442755,144081,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PF,10,N,2,2,2,0,0,2,0,442771,144094,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PG,10,N,12,12,12,0,0,12,0,442863,144116,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PH,10,N,10,10,10,0,0,10,0,443211,143939,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PJ,10,N,4,4,4,0,0,4,0,443373,143807,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PL,10,N,1,1,0,1,0,1,0,442191,143989,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,L
SP116PN,10,N,7,7,7,0,0,7,0,443310,143979,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PP,10,N,7,7,7,0,0,7,0,442700,144186,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PQ,10,N,8,8,8,0,0,8,0,442863,144069,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PR,10,N,2,2,2,0,0,2,0,443131,144364,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PS,10,N,2,2,2,0,0,2,0,443350,144354,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PT,10,N,5,5,5,0,0,5,0,443191,144416,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PU,10,N,19,19,19,0,0,19,0,439675,147203,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116PW,10,N,4,4,4,0,0,4,0,443211,144457,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PX,10,N,4,4,4,0,0,4,0,443228,144537,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PY,10,N,3,3,3,0,0,3,0,443315,144589,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116PZ,10,N,19,19,18,1,0,19,0,443289,144572,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QA,10,N,2,2,2,0,0,2,0,439184,145805,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116QB,10,N,1,1,1,0,0,1,0,443363,144676,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QD,10,N,37,37,37,0,0,37,0,443259,144675,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QE,10,N,7,7,7,0,0,7,0,443452,144730,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QF,10,N,2,2,2,0,0,2,0,443775,144919,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QG,10,N,4,4,4,0,0,4,0,443860,145080,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QH,10,N,1,1,1,0,0,1,0,444079,144776,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QJ,10,N,1,1,1,0,0,1,0,444624,144678,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QL,10,N,2,2,2,0,0,2,0,444419,144646,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QP,10,N,2,2,2,0,0,2,0,444045,144233,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QQ,10,N,11,11,11,0,0,11,0,443966,144956,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QR,10,N,3,3,3,0,0,3,0,444948,145305,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QS,10,N,2,2,2,0,0,2,0,444914,145967,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QT,10,N,1,1,1,0,0,1,0,444846,145981,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116QU,10,N,2,2,2,0,0,2,0,444982,146230,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116QW,10,N,1,1,0,1,0,1,0,444175,144302,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QX,10,N,51,51,50,1,0,51,0,443267,144786,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QY,10,N,2,2,2,0,0,2,0,441740,144699,E92000001,E19000002,E18000009,E10000014,E07000093,E05012097,S
SP116QZ,10,N,7,7,7,0,0,7,0,437140,147727,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RA,10,N,7,7,7,0,0,7,0,436702,148995,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116RB,10,N,6,6,6,0,0,6,0,437037,149509,E92000001,E19000002,E18000009,E10000014,E07000093,E05012934,S
SP116RD,10,N,26,26,24,2,0,26,0,437361,147778,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RE,10,N,5,5,5,0,0,5,0,441874,150588,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116RF,10,N,21,21,21,0,0,21,0,437720,148012,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RG,10,N,52,52,52,0,0,52,0,437535,148027,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RH,10,N,15,15,15,0,0,15,0,437680,147897,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RJ,10,N,6,6,6,0,0,6,0,437607,147940,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RL,10,N,27,27,27,0,0,27,0,437665,147960,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RP,10,N,20,20,20,0,0,20,0,438952,147144,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116RQ,10,N,7,7,7,0,0,7,0,437610,147974,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RR,10,N,14,14,14,0,0,14,0,437520,147945,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RS,10,N,18,18,18,0,0,18,0,437660,148046,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RT,10,N,6,6,6,0,0,6,0,437672,148009,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RU,10,N,73,72,11,62,0,72,1,439140,147244,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116RW,10,N,19,19,19,0,0,19,0,438929,147190,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116RX,10,N,43,43,43,0,0,43,0,436875,147900,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RY,10,N,41,41,41,0,0,41,0,436972,148043,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116RZ,10,N,32,32,32,0,0,32,0,436927,147974,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116SA,10,N,7,7,7,0,0,7,0,436915,148006,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116SB,10,N,10,10,10,0,0,10,0,436870,147940,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116SD,10,N,27,27,27,0,0,27,0,436950,147911,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116SE,10,N,16,16,16,0,0,16,0,438967,146918,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116SF,10,N,1,1,1,0,0,1,0,439077,145668,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116SG,10,N,8,8,8,0,0,8,0,437505,147218,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116SJ,10,N,21,21,21,0,0,21,0,439463,147043,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116SL,10,N,4,4,4,0,0,4,0,437460,147164,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116SP,10,N,18,18,18,0,0,18,0,437453,147227,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116ST,10,N,16,16,16,0,0,16,0,442381,150544,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116SU,10,N,3,3,3,0,0,3,0,439172,145866,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TA,10,N,18,18,18,0,0,18,0,438688,144893,E92000001,E19000002,E18000009,E10000014,E07000093,E05012930,S
SP116TB,10,N,25,25,25,0,0,25,0,438639,145017,E92000001,E19000002,E18000009,E10000014,E07000093,E05012930,S
SP116TD,10,N,22,22,22,0,0,22,0,438856,145264,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TE,10,N,35,35,35,0,0,35,0,439005,145173,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TF,10,N,45,45,45,0,0,45,0,438857,145061,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TG,10,N,9,9,9,0,0,9,0,438764,145051,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TH,10,N,80,80,79,1,0,80,0,438751,145156,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TJ,10,N,64,64,64,0,0,64,0,438781,145212,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TL,10,N,18,18,18,0,0,18,0,438612,145404,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TN,10,N,51,51,51,0,0,51,0,438551,145357,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TP,10,N,8,8,8,0,0,8,0,438574,145397,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TQ,10,N,21,21,21,0,0,21,0,438667,145374,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TR,10,N,42,42,42,0,0,42,0,438745,145407,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TS,10,N,28,28,28,0,0,28,0,438639,145180,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TT,10,N,68,68,68,0,0,68,0,438877,145309,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TU,10,N,30,30,30,0,0,30,0,438697,145111,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TW,10,N,61,61,61,0,0,61,0,438811,145330,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TX,10,N,32,32,32,0,0,32,0,438715,145076,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TY,10,N,3,3,1,2,0,3,0,439060,145311,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116TZ,10,N,6,6,6,0,0,6,0,438832,145409,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UA,10,N,16,16,16,0,0,16,0,438818,145369,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UB,10,N,16,16,16,0,0,16,0,438926,145452,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UD,10,N,32,32,32,0,0,32,0,438925,145602,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UE,10,N,6,6,6,0,0,6,0,438924,145643,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UF,10,N,10,10,10,0,0,10,0,438905,145733,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UG,10,N,37,37,37,0,0,37,0,438936,145687,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UH,10,N,49,49,49,0,0,49,0,439000,145602,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UJ,10,N,71,71,71,0,0,71,0,437976,147384,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116UL,10,N,30,30,30,0,0,30,0,437753,147458,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116UN,10,N,38,38,38,0,0,38,0,437779,147492,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116UP,10,N,25,25,25,0,0,25,0,437876,147587,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116UQ,10,N,44,44,44,0,0,44,0,437823,147610,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116UR,10,N,29,29,29,0,0,29,0,437930,147568,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116US,10,N,24,24,24,0,0,24,0,437895,147416,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116UT,10,N,35,35,35,0,0,35,0,438898,144986,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UU,10,N,51,51,51,0,0,51,0,438970,145026,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UW,10,N,9,9,9,0,0,9,0,439633,147156,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UX,10,N,26,26,26,0,0,26,0,439607,147106,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UY,10,N,45,45,45,0,0,45,0,438872,146869,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116UZ,10,N,26,26,26,0,0,26,0,438922,146824,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116WF,10,N,36,36,36,0,0,36,0,438892,146936,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116WG,10,N,35,35,35,0,0,35,0,439390,147114,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116WJ,10,N,55,55,55,0,0,55,0,438991,146945,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116WL,10,N,82,73,82,0,0,73,9,439385,147031,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116WN,10,N,50,50,50,0,0,50,0,436625,147159,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WP,10,N,24,24,24,0,0,24,0,437078,147901,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WQ,10,N,30,30,30,0,0,30,0,437060,147988,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WR,10,N,35,35,35,0,0,35,0,437897,147369,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WS,10,N,4,4,4,0,0,4,0,437947,147358,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WT,10,N,17,17,17,0,0,17,0,438012,147474,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WU,10,N,19,19,19,0,0,19,0,438091,147284,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WX,10,N,14,14,14,0,0,14,0,438118,147234,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WY,10,N,50,50,50,0,0,50,0,437968,147250,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116WZ,10,N,31,31,31,0,0,31,0,439204,145238,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XA,10,N,23,23,23,0,0,23,0,438816,144916,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XB,10,N,8,8,8,0,0,8,0,439092,146854,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XD,10,N,24,24,24,0,0,24,0,438860,146748,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XE,10,N,20,20,20,0,0,20,0,438928,146754,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XF,10,N,36,36,36,0,0,36,0,439077,146779,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XG,10,N,55,55,55,0,0,55,0,439045,146735,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XH,10,N,15,15,15,0,0,15,0,439053,146803,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XL,10,N,85,85,85,0,0,85,0,439142,145497,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XP,10,N,48,48,48,0,0,48,0,439212,145365,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XQ,10,N,60,60,60,0,0,60,0,439143,145390,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XR,10,N,28,28,28,0,0,28,0,439260,145536,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XS,10,N,24,24,24,0,0,24,0,439083,145503,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XT,10,N,14,14,14,0,0,14,0,439030,145469,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XU,10,N,1,1,0,1,0,1,0,437214,148346,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116XW,10,N,8,8,8,0,0,8,0,439623,147229,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116XX,10,N,11,11,11,0,0,11,0,437069,148163,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116XY,10,N,19,19,19,0,0,19,0,437127,148239,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116XZ,10,N,43,43,43,0,0,43,0,437073,148230,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YA,10,N,11,11,11,0,0,11,0,437024,148241,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YB,10,N,10,10,10,0,0,10,0,436926,148140,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YD,10,N,39,39,39,0,0,39,0,437011,148099,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YE,10,N,2,2,2,0,0,2,0,439127,145828,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116YF,10,N,3,3,3,0,0,3,0,442206,150594,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116YG,10,N,2,2,1,1,0,2,0,437744,147278,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YH,10,N,11,11,11,0,0,11,0,442000,150474,E92000001,E19000002,E18000009,E10000014,E07000084,E05013084,S
SP116YJ,10,N,3,3,3,0,0,3,0,436956,148066,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YL,10,N,5,5,5,0,0,5,0,436963,148135,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YN,10,N,10,10,10,0,0,10,0,439300,145592,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116YP,10,N,5,5,5,0,0,5,0,439311,147108,E92000001,E19000002,E18000009,E10000014,E07000093,E05012085,S
SP116YQ,10,N,42,42,42,0,0,42,0,438118,147136,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YR,10,N,67,67,67,0,0,67,0,438184,147042,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YS,10,N,65,65,65,0,0,65,0,437434,148131,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YT,10,N,6,6,6,0,0,6,0,437316,147926,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YU,10,N,37,37,37,0,0,37,0,437253,148148,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YW,10,N,10,10,10,0,0,10,0,437297,148104,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YX,10,N,14,14,14,0,0,14,0,437216,148076,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
SP116YY,10,N,27,27,27,0,0,27,0,437123,148086,E92000001,E19000002,E18000009,E10000014,E07000093,E05012088,S
